Antecedants,Consequents,Confidence
1,41,0.472222222
41,1,0.403560831
1,42,0.46875
42,1,0.470383275
2,75,0.319612591
75,2,0.245810056
2,124,0.336561743
124,2,0.218897638
2,131,0.317191283
131,2,0.185028249
2,162,0.336561743
162,2,0.157775255
2,176,0.334140436
176,2,0.556451613
2,217,0.334140436
217,2,0.161214953
123,3,0.488888889
3,123,0.556962025
3,124,0.675105485
124,3,0.251968504
4,124,0.470760234
124,4,0.253543307
128,4,0.23817292
4,128,0.426900585
130,4,0.336170213
4,130,0.461988304
181,4,0.453804348
4,181,0.488304094
6,5,0.563076923
5,6,0.442028986
52,5,0.345360825
5,52,0.323671498
5,75,0.330917874
75,5,0.255121043
76,5,0.240837696
5,76,0.333333333
87,5,0.206299213
5,87,0.316425121
5,120,0.396135266
120,5,0.571428571
5,122,0.495169082
122,5,0.5
5,123,0.333333333
123,5,0.511111111
5,124,0.649758454
124,5,0.423622047
5,125,0.328502415
125,5,0.461016949
5,151,0.333333333
151,5,0.292993631
5,162,0.342995169
162,5,0.161180477
5,183,0.369565217
183,5,0.2390625
5,189,0.316425121
189,5,0.303944316
5,193,0.40821256
193,5,0.461748634
5,217,0.362318841
217,5,0.175233645
6,120,0.449230769
120,6,0.508710801
6,122,0.504615385
122,6,0.4
6,124,0.636923077
124,6,0.325984252
7,8,0.801169591
8,7,0.425465839
7,12,0.85380117
12,7,0.37628866
8,9,0.51863354
9,8,0.692946058
10,8,0.782122905
8,10,0.434782609
11,8,0.670103093
8,11,0.605590062
8,12,0.819875776
12,8,0.680412371
11,9,0.567010309
9,11,0.684647303
12,9,0.512886598
9,12,0.825726141
10,12,0.860335196
12,10,0.396907216
11,12,0.776632302
12,11,0.582474227
162,12,0.180476731
12,162,0.409793814
13,64,0.219764012
64,13,0.307216495
65,13,0.284467714
13,65,0.240412979
66,13,0.413888889
13,66,0.219764012
100,13,0.400593472
13,100,0.199115044
13,118,0.249262537
118,13,0.2879046
13,124,0.206489676
124,13,0.220472441
126,13,0.799227799
13,126,0.305309735
13,128,0.238938053
128,13,0.264274062
13,131,0.308259587
131,13,0.29519774
13,162,0.368731563
162,13,0.283768445
13,183,0.234513274
183,13,0.2484375
13,185,0.225663717
185,13,0.324152542
13,206,0.268436578
206,13,0.318739054
13,212,0.215339233
212,13,0.362282878
13,217,0.349557522
217,13,0.276869159
224,13,0.346341463
13,224,0.209439528
15,14,0.824324324
14,15,0.419965577
76,14,0.246073298
14,76,0.242685026
14,124,0.290877797
124,14,0.266141732
14,131,0.251290878
131,14,0.206214689
14,162,0.296041308
162,14,0.19523269
14,170,0.370051635
170,14,0.44057377
14,183,0.273666093
183,14,0.2484375
14,206,0.242685026
206,14,0.246935201
14,217,0.225473322
217,14,0.153037383
16,211,0.671428571
211,16,0.819767442
17,136,0.846491228
136,17,0.81092437
18,153,0.656862745
153,18,0.575931232
19,160,0.790419162
160,19,0.781065089
21,20,0.537037037
20,21,0.483333333
128,20,0.259380098
20,128,0.53
22,155,0.68018018
155,22,0.392207792
22,217,0.927927928
217,22,0.240654206
23,158,0.740909091
158,23,0.486567164
24,110,0.534136546
110,24,0.25
24,158,0.634538153
158,24,0.471641791
24,208,0.554216867
208,24,0.6
24,227,0.534136546
227,24,0.558823529
111,25,0.27755102
25,111,0.456375839
135,25,0.56
25,135,0.469798658
27,26,0.72
26,27,0.822335025
28,68,0.520942408
68,28,0.629746835
28,69,0.518324607
69,28,0.417721519
28,70,0.510471204
70,28,0.6
28,169,0.416230366
169,28,0.428571429
28,177,0.484293194
177,28,0.435294118
28,217,0.387434555
217,28,0.172897196
29,30,0.523510972
30,29,0.65234375
29,31,0.564263323
31,29,0.694980695
128,29,0.221859706
29,128,0.426332288
30,31,0.5703125
31,30,0.563706564
32,124,0.424242424
124,32,0.242519685
33,217,0.411949686
217,33,0.153037383
51,34,0.563636364
34,51,0.648083624
55,34,0.614814815
34,55,0.578397213
146,34,0.462603878
34,146,0.581881533
217,34,0.161214953
34,217,0.480836237
35,217,0.602189781
217,35,0.192757009
36,217,0.487889273
217,36,0.164719626
37,111,0.480836237
111,37,0.281632653
37,205,0.780487805
205,37,0.695652174
38,40,0.35978836
40,38,0.434504792
38,50,0.351851852
50,38,0.328395062
38,69,0.420634921
69,38,0.335443038
38,162,0.394179894
162,38,0.169125993
38,217,0.35978836
217,38,0.158878505
87,39,0.228346457
39,87,0.440729483
162,39,0.149829739
39,162,0.401215805
41,42,0.439169139
42,41,0.515679443
44,43,0.577868852
43,44,0.734375
45,43,0.742574257
43,45,0.78125
44,45,0.639344262
45,44,0.772277228
47,46,0.732793522
46,47,0.658181818
48,46,0.722826087
46,48,0.483636364
48,47,0.72826087
47,48,0.542510121
49,50,0.757834758
50,49,0.656790123
49,217,0.398860399
217,49,0.163551402
50,69,0.392592593
69,50,0.335443038
87,50,0.22519685
50,87,0.35308642
50,217,0.395061728
217,50,0.186915888
55,51,0.566666667
51,55,0.463636364
116,51,0.574561404
51,116,0.396969697
146,51,0.51800554
51,146,0.566666667
51,217,0.448484848
217,51,0.172897196
52,75,0.360824742
75,52,0.260707635
52,76,0.37371134
76,52,0.253054101
52,124,0.445876289
124,52,0.272440945
52,128,0.342783505
128,52,0.216965742
52,151,0.368556701
151,52,0.303609342
52,162,0.389175258
162,52,0.171396141
52,182,0.378865979
182,52,0.452307692
52,183,0.396907216
183,52,0.240625
52,184,0.425257732
184,52,0.438829787
52,189,0.407216495
189,52,0.366589327
131,53,0.20480226
53,131,0.374677003
53,137,0.764857881
